Epoch 000 | Iter 002700 | Step 0002701 | G-Cycle: 0.2879 | G-L1: 0.2295 | G-Adv: 1.4942 | Gc-Adv: 1.8970 | G-Sum: 3.6499 | D: 2.7801 | Dc: 2.9610
Epoch 000 | Iter 002800 | Step 0002801 | G-Cycle: 0.2501 | G-L1: 0.1365 | G-Adv: 1.4969 | Gc-Adv: 2.1627 | G-Sum: 3.8530 | D: 2.8282 | Dc: 2.3188
Epoch 000 | Iter 002900 | Step 0002901 | G-Cycle: 0.3131 | G-L1: 0.2491 | G-Adv: 1.3204 | Gc-Adv: 2.0613 | G-Sum: 3.6628 | D: 2.7741 | Dc: 2.3501
Epoch 000 | Iter 003000 | Step 0003001 | G-Cycle: 0.5181 | G-L1: 0.2216 | G-Adv: 2.7907 | Gc-Adv: 2.9172 | G-Sum: 6.0778 | D: 2.8226 | Dc: 2.4167
Epoch 000 | Iter 003100 | Step 0003101 | G-Cycle: 0.3034 | G-L1: 0.1826 | G-Adv: 1.4699 | Gc-Adv: 2.1009 | G-Sum: 3.8138 | D: 2.7797 | Dc: 2.5202
Epoch 000 | Iter 003200 | Step 0003201 | G-Cycle: 0.2635 | G-L1: 0.2059 | G-Adv: 1.2785 | Gc-Adv: 1.6595 | G-Sum: 3.1727 | D: 2.7973 | Dc: 3.0140
Epoch 000 | Iter 003300 | Step 0003301 | G-Cycle: 0.2914 | G-L1: 0.2186 | G-Adv: 1.2836 | Gc-Adv: 2.2743 | G-Sum: 3.8130 | D: 2.7834 | Dc: 2.3153
Epoch 000 | Iter 003400 | Step 0003401 | G-Cycle: 0.2449 | G-L1: 0.1727 | G-Adv: 1.2710 | Gc-Adv: 2.3474 | G-Sum: 3.8272 | D: 2.7736 | Dc: 2.4622
Epoch 000 | Iter 003500 | Step 0003501 | G-Cycle: 0.2401 | G-L1: 0.1655 | G-Adv: 1.3868 | Gc-Adv: 1.5416 | G-Sum: 3.1312 | D: 2.7742 | Dc: 3.3229
Epoch 000 | Iter 003600 | Step 0003601 | G-Cycle: 0.2901 | G-L1: 0.2145 | G-Adv: 1.5861 | Gc-Adv: 2.0853 | G-Sum: 3.9237 | D: 2.7778 | Dc: 2.5449
Epoch 000 | Iter 003700 | Step 0003701 | G-Cycle: 0.3593 | G-L1: 0.1832 | G-Adv: 1.3710 | Gc-Adv: 2.0886 | G-Sum: 3.7309 | D: 2.7761 | Dc: 2.6160
Epoch 000 | Iter 003800 | Step 0003801 | G-Cycle: 0.2226 | G-L1: 0.1872 | G-Adv: 1.4305 | Gc-Adv: 2.2515 | G-Sum: 3.8869 | D: 2.7776 | Dc: 2.0227
Epoch 000 | Iter 003900 | Step 0003901 | G-Cycle: 0.3149 | G-L1: 0.1891 | G-Adv: 1.3749 | Gc-Adv: 1.9941 | G-Sum: 3.6210 | D: 2.7729 | Dc: 2.4191
Epoch 000 | Iter 004000 | Step 0004001 | G-Cycle: 0.3704 | G-L1: 0.2051 | G-Adv: 1.5043 | Gc-Adv: 2.4347 | G-Sum: 4.2267 | D: 2.7768 | Dc: 2.1184
Epoch 000 | Iter 004100 | Step 0004101 | G-Cycle: 0.9578 | G-L1: 0.3203 | G-Adv: 1.1922 | Gc-Adv: 2.3354 | G-Sum: 4.1666 | D: 2.7765 | Dc: 1.5074
Epoch 000 | Iter 004200 | Step 0004201 | G-Cycle: 0.3292 | G-L1: 0.2157 | G-Adv: 1.5166 | Gc-Adv: 2.8634 | G-Sum: 4.6525 | D: 2.7741 | Dc: 2.3402
Epoch 000 | Iter 004300 | Step 0004301 | G-Cycle: 0.4031 | G-L1: 0.2070 | G-Adv: 1.3509 | Gc-Adv: 2.2696 | G-Sum: 3.9256 | D: 2.7798 | Dc: 2.6491
Epoch 000 | Iter 004400 | Step 0004401 | G-Cycle: 0.4441 | G-L1: 0.1828 | G-Adv: 1.3905 | Gc-Adv: 3.2689 | G-Sum: 4.9728 | D: 2.8201 | Dc: 2.1966
